trade_id,symbol,signal_type,entry_price,exit_price,quantity,pnl,pnl_pct,fees,exit_reason,entry_seq,exit_seq,strategy,regime,bars_held,atr_at_entry,stop_loss,take_profit,equity_after
bt_pos_1,BTCUSDT,long,66615.70000000001,66782.23925000001,0.0075057381368055865,43.34950000000042,0.4334993349933541,0.4005,take_profit,9,11,volatility_breakout,MIXED,2,66.6157,66515.77645,66782.23925000001,10043.2495
bt_pos_2,BTCUSDT,long,66879.20000000001,66665.80000000002,0.007508500026914197,-56.48207575545831,-0.5623940795443162,0.40108905443770265,stop_loss,16,20,volatility_breakout,MIXED,4,142.26666666666668,66665.80000000002,67234.86666666668,9986.66699174954
bt_pos_3,BTCUSDT,short,66663.5,66568.6,0.007490356035723852,24.480035226900384,0.24512963183737882,0.39918234575486555,time_exit,20,28,momentum,MIXED,8,138.25333333333353,66870.88,66317.86666666667,10011.047160306523
bt_pos_4,BTCUSDT,long,66704.4,66513.34999999999,0.0075040380846739686,-50.57749509051625,-0.5052218819931753,0.39986842782183024,stop_loss,34,38,momentum,MIXED,4,127.3666666666686,66513.34999999999,67022.81666666667,9960.369554744404
bt_pos_5,BTCUSDT,long,66803.8,66601.70000000001,0.007454942349645083,-53.13034683486244,-0.5334227595836155,0.3978121246502309,stop_loss,45,52,momentum,MIXED,7,134.73333333333235,66601.70000000001,67140.63333333333,9907.139604213993
bt_pos_6,BTCUSDT,long,66542.20000000001,66504.4,0.007444253123742522,-10.244919909777234,-0.10341049757331695,0.39617302706132873,time_exit,58,66,volatility_breakout,MIXED,8,180.8933333333339,66270.86000000002,66994.43333333335,9896.795612908174
bt_pos_7,BTCUSDT,long,66395.20000000001,66727.10000000002,0.007452945102137031,86.18027550146903,0.8707983945878197,0.39686127750808675,take_profit,77,81,volatility_breakout,MIXED,4,132.76000000000155,66196.06000000001,66727.10000000002,9982.876920453513
bt_pos_8,BTCUSDT,long,66678.80000000002,66478.61000000002,0.007485795275599974,-52.84906311205882,-0.5294024160479581,0.39871564427565165,stop_loss,87,88,volatility_breakout,MIXED,1,133.45999999999768,66478.61000000002,67012.45000000001,9929.92802857225
bt_pos_9,BTCUSDT,short,67527.0,67805.92,0.007352561218899293,-72.1751905628312,-0.7268523207245446,0.3980174316929603,stop_loss,134,141,momentum,MIXED,7,185.94666666666356,67805.92,67062.13333333335,9857.653538729133
bt_pos_10,BTCUSDT,long,66620.0,66785.7,0.007398419047380016,42.512334756516026,0.43126652521402864,0.39479650876362565,time_exit,177,185,momentum,MIXED,8,263.06666666666666,66225.4,67277.66666666667,9900.067296950263
bt_pos_11,BTCUSDT,short,66517.5,66809.01000000001,0.007441701279325188,-76.32343232177939,-0.7709462297013563,0.39687042401398503,stop_loss,188,194,momentum,MIXED,6,194.34000000000233,66809.01000000001,66031.65,9823.644863955513
bt_pos_12,BTCUSDT,short,67670.80000000002,67648.9,0.0072584075139909025,5.170687148571544,0.052635645196543616,0.3928822109083979,time_exit,207,215,momentum,MIXED,8,286.28000000000173,68100.22000000002,66955.1,9828.717314655445
bt_pos_13,BTCUSDT,long,66696.1,66937.6,0.007368284888213438,61.886567548717665,0.6296567948729471,0.3938604689064193,time_exit,238,246,momentum,MIXED,8,291.1666666666657,66259.35,67424.01666666666,9890.505595031016
bt_pos_14,BTCUSDT,long,68271.30000000002,67930.87000000002,0.007243531026237243,-86.70166821186064,-0.8766238935325238,0.3946338576943359,stop_loss,286,289,volatility_breakout,MIXED,3,226.95333333333352,67930.87000000002,68838.68333333335,9803.705021763204
bt_pos_15,BTCUSDT,long,67932.0,68537.76666666666,0.007215822456105521,152.59476843451515,1.55651658285017,0.3938966427571256,take_profit,301,309,momentum,MIXED,8,242.3066666666651,67568.54000000001,68537.76666666666,9956.201753147501
bt_pos_16,BTCUSDT,short,68500.0,68476.7,0.007267300549742702,5.528303259431137,0.055526783005063765,0.39818033888477644,time_exit,320,328,momentum,MIXED,8,260.8933333333329,68891.34,67847.76666666666,9961.630494389401
bt_pos_17,BTCUSDT,long,68159.80000000002,68088.4,0.007307555549157567,-18.659837833339807,-0.18731897799355096,0.39825651598909206,time_exit,371,379,volatility_breakout,MIXED,8,220.4599999999996,67829.11000000002,68710.95000000001,9942.871040251117
bt_pos_18,BTCUSDT,long,68162.30000000002,68638.96666666667,0.007293526656414993,121.28123091049513,1.2197929877995217,0.39910547402586777,take_profit,380,387,volatility_breakout,MIXED,7,190.66666666666472,67876.30000000002,68638.96666666667,10064.05284245121
bt_pos_19,BTCUSDT,short,66475.6,66440.8,0.007569734490889296,8.817479866909997,0.08761448474710917,0.40245674299393525,time_exit,418,426,momentum,MIXED,8,174.5066666666661,66737.36,66039.33333333334,10072.769681789696
bt_pos_20,BTCUSDT,long,66941.6,66906.3,0.0075235501405625915,-9.698150753409452,-0.09628183749123169,0.40280455474360305,time_exit,459,467,momentum,MIXED,8,269.4466666666655,66537.43000000001,67615.21666666667,10062.970803339469
bt_pos_21,BTCUSDT,long,66906.30000000002,66954.0,0.00752019675526779,12.15230616542731,0.12076381743720589,0.40266231748766923,time_exit,467,475,volatility_breakout,MIXED,8,219.51333333333216,66577.03000000001,67455.08333333334,10075.022479796864
bt_pos_22,BTCUSDT,long,66906.30000000002,66834.9,0.007529203139163922,-19.218264509926996,-0.19075348698260602,0.40278586515022,time_exit,477,485,volatility_breakout,MIXED,8,158.79999999999708,66668.10000000002,67303.30000000002,10055.703465062139
bt_pos_23,BTCUSDT,long,67008.80000000002,66763.58000000002,0.007503270812984367,-64.7998145643762,-0.6444150107861346,0.4014921577749816,stop_loss,511,517,volatility_breakout,MIXED,6,163.47999999999882,66763.58000000002,67417.50000000001,9990.803093463112
bt_pos_24,BTCUSDT,short,66791.20000000001,67040.02,0.0074791313028236585,-65.53388728361723,-0.6559486961756072,0.40037650671883196,stop_loss,520,526,momentum,MIXED,6,165.87999999999786,67040.02,66376.50000000001,9925.169298148561
bt_pos_25,BTCUSDT,long,66978.30000000002,66784.54000000002,0.007409242469686868,-50.64295125842468,-0.5102528347042768,0.3964325259975719,stop_loss,528,530,volatility_breakout,MIXED,2,129.17333333332985,66784.54000000002,67301.23333333334,9874.427095197154
bt_pos_26,BTCUSDT,long,66899.80000000002,66844.6,0.007380012417972215,-14.652998124659025,-0.14839488422809627,0.39481413313369734,time_exit,541,549,volatility_breakout,MIXED,8,193.08666666666687,66610.17000000001,67382.51666666669,9859.675352801543
