trade_id,symbol,signal_type,direction,entry_price,exit_price,quantity,pnl,pnl_pct,fees,exit_reason,entry_seq,exit_seq,strategy,regime,bars_held,atr_at_entry,stop_loss,take_profit,equity_after,entry_to_stop_dist_pct,entry_to_tp_dist_pct,realized_stop_pct,realized_tp_pct
bt_pos_1,BTCUSDT,long,LONG,68717.80000000002,68400.38333333335,0.007276135149844726,-81.23390596517085,-0.8123471831235397,0.3990761733738081,stop_loss,36,38,momentum,MIXED,2,634.8333333333334,68400.38333333335,70622.30000000002,9918.666094034828,0.46191331309598305,2.771479878575856,0.46191331309598305,0
bt_pos_2,BTCUSDT,short,SHORT,69190.7,69299.63666666666,0.0071676295326068605,-27.725677392258884,-0.27953309839193025,0.3970589708290667,stop_loss,119,120,momentum,MIXED,1,217.8733333333347,69299.63666666666,68537.07999999999,9890.84122998163,0.157444088102391,0.9446645286144091,0.157444088102391,0
bt_pos_3,BTCUSDT,long,LONG,70424.9,70279.16666666666,0.0070222614657469385,-36.21343928112506,-0.36613469549350464,0.3952242981708886,stop_loss,294,295,momentum,MIXED,1,291.46666666666374,70279.16666666666,71299.29999999999,9854.528882288205,0.20693438447670814,1.2416063068602075,0.20693438447670814,0
bt_pos_4,BTCUSDT,short,SHORT,70017.5,70153.97,0.007037189904158392,-34.00735101913166,-0.3450970767071931,0.3945653014140164,stop_loss,298,299,momentum,MIXED,1,272.9399999999975,70153.97,69198.68000000001,9820.422985980249,0.19490841575320622,1.1694504945192166,0.19490841575320622,0
bt_pos_5,BTCUSDT,short,SHORT,68964.30000000002,68526.1,0.007119932331641332,108.8068332326859,1.1079759137384866,0.39156893770011986,time_exit,330,338,momentum,MIXED,8,241.25333333333546,69084.92666666668,68240.54000000001,9929.131614983075,0.17491175385911745,1.049470523154747,0,0.6354012148314585
bt_pos_6,BTCUSDT,short,SHORT,67535.20000000001,67355.0,0.007351078855902606,45.96661894534534,0.4629516497370939,0.3966353988353895,time_exit,473,481,momentum,MIXED,8,402.37333333333373,67736.38666666667,66328.08000000002,9974.99894261227,0.2978989721902963,1.787393833141821,0,0.2668238192824062
bt_pos_7,BTCUSDT,long,LONG,67671.9,67512.74333333333,0.007370118869584178,-41.453655083986625,-0.41557968941324824,0.3985307562836028,stop_loss,484,488,momentum,MIXED,4,318.31333333333316,67512.74333333333,68626.84,9933.445537538859,0.23518870708028328,1.4111322424817427,0.23518870708028328,0
bt_pos_8,BTCUSDT,short,SHORT,67840.0,67969.53,0.007321230496417202,-33.58888166612794,-0.3381426659195807,0.3977171490960348,stop_loss,530,533,momentum,MIXED,3,259.06000000000057,67969.53,67062.81999999999,9899.757321417355,0.19093455188679073,1.1456073113207659,0.19093455188679073,0
bt_pos_9,BTCUSDT,short,SHORT,68932.0,68947.7,0.007180813933599312,-4.3418926448802875,-0.04385901515835634,0.39603538836819724,time_exit,679,687,momentum,MIXED,8,140.7600000000006,69002.38,68509.72,9895.316431199262,0.102100620901765,0.6126037254105478,0.022776069169612213,0
bt_pos_10,BTCUSDT,long,LONG,68863.20000000001,68804.69666666668,0.007184763728086453,-15.107286479887346,-0.15267260687723094,0.3956445241970483,stop_loss,688,690,volatility_breakout,MIXED,2,117.00666666666706,68804.69666666668,69214.22000000002,9880.110191555063,0.08495587386779402,0.5097352432068275,0.08495587386779402,0
bt_pos_11,BTCUSDT,long,LONG,68827.70000000001,68774.67666666668,0.0071774228919134755,-13.715033205834875,-0.13881596552699757,0.3950521793076137,stop_loss,690,691,volatility_breakout,MIXED,1,106.04666666666647,68774.67666666668,69145.84000000001,9866.29635724731,0.07703778178455883,0.46222669070737415,0.07703778178455883,0
