datetime,symbol,direction,offset,price,volume,pnl
2025-10-10 19:00:00+00:00,solusdt,多,开,207.36,33.75771605,0
2025-10-10 20:00:00+00:00,solusdt,空,平,205.16,33.75771605,0
2025-10-10 21:00:00+00:00,solusdt,空,开,196.88,35.55465258,0
2025-10-10 22:00:00+00:00,solusdt,多,平,190.69,35.55465258,0
2025-10-10 23:00:00+00:00,solusdt,空,开,188.46,37.14316035,0
2025-10-11 03:00:00+00:00,solusdt,多,平,188.13,37.14316035,0
2025-10-11 04:00:00+00:00,solusdt,空,开,184.01,38.04347826,0
2025-10-11 09:00:00+00:00,solusdt,多,平,186.17,38.04347826,0
2025-10-11 10:00:00+00:00,solusdt,空,开,184.02,38.03934355,0
2025-10-11 22:00:00+00:00,solusdt,多,平,176.58,38.03934355,0
2025-10-12 13:00:00+00:00,solusdt,多,开,181.52,38.56324372,0
2025-10-12 14:00:00+00:00,solusdt,空,平,179.04,38.56324372,0
2025-10-12 15:00:00+00:00,solusdt,多,开,186.16,37.60206274,0
2025-10-12 22:00:00+00:00,solusdt,空,平,195.44,37.60206274,0
2025-10-12 23:00:00+00:00,solusdt,多,开,197.28,35.48076436,0
2025-10-13 03:00:00+00:00,solusdt,空,平,196.24,35.48076436,0
2025-10-13 04:00:00+00:00,solusdt,多,开,194.63,35.96567847,0
2025-10-13 08:00:00+00:00,solusdt,空,平,196.62,35.96567847,0
2025-10-13 19:00:00+00:00,solusdt,多,开,205.83,34.00864791,0
2025-10-14 02:00:00+00:00,solusdt,空,平,208.32,34.00864791,0
2025-10-14 03:00:00+00:00,solusdt,多,开,206.2,33.9459774,0
2025-10-14 05:00:00+00:00,solusdt,空,平,202.04,33.9459774,0
2025-10-14 11:00:00+00:00,solusdt,空,开,194.13,36.05831144,0
2025-10-14 14:00:00+00:00,solusdt,多,平,194.94,36.05831144,0
2025-10-14 15:00:00+00:00,solusdt,空,开,195.76,35.75807111,0
2025-10-14 16:00:00+00:00,solusdt,多,平,202.06,35.75807111,0
2025-10-14 17:00:00+00:00,solusdt,空,开,202.39,34.58668907,0
2025-10-14 21:00:00+00:00,solusdt,多,平,200.51,34.58668907,0
2025-10-14 22:00:00+00:00,solusdt,空,开,201.13,34.80336101,0
2025-10-15 01:00:00+00:00,solusdt,多,平,203.88,34.80336101,0
2025-10-15 02:00:00+00:00,solusdt,多,开,203.59,34.38113949,0
2025-10-15 04:00:00+00:00,solusdt,空,平,201.56,34.38113949,0
2025-10-15 05:00:00+00:00,solusdt,多,开,203.36,34.42171518,0
2025-10-15 09:00:00+00:00,solusdt,空,平,206.05,34.42171518,0
2025-10-15 10:00:00+00:00,solusdt,多,开,205.91,33.9954349,0
2025-10-15 11:00:00+00:00,solusdt,空,平,203.8,33.9954349,0
2025-10-15 12:00:00+00:00,solusdt,多,开,202.48,34.57131569,0
2025-10-15 14:00:00+00:00,solusdt,空,平,201.08,34.57131569,0
2025-10-15 19:00:00+00:00,solusdt,空,开,197.92,35.36782538,0
2025-10-16 02:00:00+00:00,solusdt,多,平,194.99,35.36782538,0
2025-10-16 03:00:00+00:00,solusdt,空,开,195.37,35.82945181,0
2025-10-16 07:00:00+00:00,solusdt,多,平,195.1,35.82945181,0
2025-10-16 08:00:00+00:00,solusdt,空,开,192.79,36.30893719,0
2025-10-16 10:00:00+00:00,solusdt,多,平,193.77,36.30893719,0
2025-10-16 20:00:00+00:00,solusdt,空,开,184.91,37.85830178,0
2025-10-16 22:00:00+00:00,solusdt,多,平,185.51,37.85830178,0
2025-10-16 23:00:00+00:00,solusdt,空,开,183.04,38.24300699,0
2025-10-17 01:00:00+00:00,solusdt,多,平,186.19,38.24300699,0
2025-10-17 02:00:00+00:00,solusdt,空,开,185.59,37.71754944,0
2025-10-17 05:00:00+00:00,solusdt,多,平,186.98,37.71754944,0
2025-10-17 07:00:00+00:00,solusdt,空,开,180.33,38.81987578,0
2025-10-17 11:00:00+00:00,solusdt,多,平,177.36,38.81987578,0
2025-10-17 12:00:00+00:00,solusdt,空,开,181.36,38.59726511,0
